athlete_id,athlete_name,age,height,weight,sport,vertical_jump_height,sprint_speed,training_hours_per_week
63,Viola McRuvie,23,153.4,115.4,soccer,17.82,1.39,7
64,Dorita Lefridge,27,209.2,93.3,tennis,57.45,1.37,7
65,Amalie Turle,37,203.2,97.7,swimming,12.94,9.81,31
66,Marie-ann Iliffe,33,154.8,116.6,swimming,13.04,3.44,13
67,Allissa Royan,27,207.9,89.8,swimming,36.13,6.87,19
68,Ambrosius Ainsbury,35,162.2,82.2,basketball,42.52,7.68,23
69,Cathyleen Almond,19,158.3,62.8,basketball,49.26,6.14,19
70,Conrad Ettridge,29,168.3,118.2,soccer,8.84,8.31,9
71,Maddalena Pemberton,38,179.7,93.7,swimming,38.25,5.13,36
72,Axel Boarleyson,39,214.8,92.3,swimming,52.14,4.94,38
73,Zacharias Mation,35,167.7,83.7,swimming,30.34,5.72,11
74,Cathleen Capron,24,207.7,56.5,basketball,52.94,7.37,32
75,Cherise Baggett,25,161.9,86.1,basketball,34.89,4.37,35
76,Maitilde Malan,38,193.1,86.5,basketball,34.39,1.3,4
77,Carmella Crates,33,176.0,92.0,soccer,6.37,2.35,25
78,Farrah Barts,21,162.4,84.2,tennis,43.36,9.38,15
79,Shannen Roubeix,26,196.5,71.0,tennis,5.31,10.14,33
80,Zita Bliss,21,198.1,99.1,soccer,5.77,2.43,15
81,Cher Halmkin,27,217.8,89.5,swimming,12.85,9.31,11
82,Sheridan Lynskey,32,186.2,93.1,swimming,31.1,5.99,12
83,Kristos Fillimore,35,174.4,106.6,swimming,30.07,10.83,40
84,Annabell Hasloch,37,194.1,112.5,soccer,36.03,4.8,10
85,Saxon Janiak,23,153.3,102.2,soccer,5.33,7.03,17
86,Madalena Caplen,19,157.6,77.6,soccer,41.25,4.36,17
87,Upton Waumsley,18,182.8,118.7,swimming,17.71,10.92,18
88,Romain Mosen,28,177.5,102.3,soccer,52.72,10.32,29
89,Lanie Semark,37,163.3,73.7,swimming,52.13,8.46,24
90,Reynold Mingasson,31,164.5,97.1,soccer,47.15,4.83,31
91,Shoshana Reeveley,30,153.9,51.5,soccer,17.4,7.97,17
92,Walker Burrus,23,174.4,53.7,basketball,47.99,3.02,13
93,Megan Collington,32,168.6,68.5,tennis,48.24,8.36,17
94,Desiri Venediktov,33,205.6,50.7,swimming,15.3,10.06,10
95,Merl Tolley,38,191.5,94.7,soccer,23.78,2.82,12
96,Godfry Riggs,23,177.9,119.7,swimming,22.41,9.7,14
97,Ingar Paniman,23,150.5,70.8,basketball,53.16,3.97,17
98,Sybil Powter,30,167.7,71.7,soccer,8.16,7.61,14
99,Maritsa Vasiltsov,22,155.3,109.5,swimming,53.31,1.53,11
100,Salem Clemencet,23,189.1,69.3,tennis,53.1,9.89,10
101,Geraldine Ferebee,36,151.6,62.3,basketball,15.43,4.39,37
102,Torre Riddler,32,201.4,67.8,basketball,0.25,6.36,0
103,Dalis Tooker,28,216.6,117.2,tennis,4.86,1.74,16
104,Abey Dible,23,156.7,107.7,tennis,29.38,9.1,6
105,Iver Keneford,20,175.1,67.6,basketball,11.23,1.35,3
106,Haleigh James,40,164.3,74.6,basketball,46.94,6.8,39
107,Ryon Stivens,39,210.4,58.9,swimming,30.84,1.09,11
108,Cassie Duddridge,22,185.7,51.8,swimming,35.01,2.45,23
109,Bartholemy Tappington,24,153.5,93.9,soccer,26.21,2.31,19
110,Dyan Ship,35,169.7,71.9,basketball,13.06,6.01,39
111,Jayson Fergyson,18,168.9,78.8,swimming,1.69,1.71,7
112,Britta Markwick,28,154.9,81.9,tennis,7.96,10.68,34
113,Braden Maiden,26,159.6,85.0,tennis,22.2,2.25,7
114,Blancha Orton,32,196.0,68.3,tennis,59.05,1.17,22
115,Bea De Mico,31,167.5,76.9,swimming,45.5,8.71,3
116,Valaria Obal,30,154.1,61.8,soccer,54.05,10.84,34
117,Julianna Melson,38,181.2,95.7,tennis,2.25,4.56,30
118,Ciro Hugonnet,19,206.7,68.9,soccer,48.32,0.84,30
119,Nikolos Moresby,28,219.1,83.4,swimming,47.45,10.73,16
120,Abramo Wylam,32,177.2,105.9,soccer,46.08,1.09,39
121,Kellsie Crose,21,168.9,63.2,soccer,44.67,5.83,7
122,Mariya Kearford,37,188.8,106.3,tennis,47.98,5.16,11
123,Neala Parchment,30,153.0,72.7,basketball,48.34,0.77,15
124,Libbi McBayne,26,153.1,115.1,tennis,29.15,6.45,12
125,Gladi Vayro,33,165.2,72.8,soccer,55.97,1.82,20
126,Shadow Dorrity,27,205.0,109.6,tennis,5.29,10.11,3
127,Chloris Roycroft,38,173.9,115.6,basketball,14.96,0.34,40
128,Stephanie Woodman,31,200.0,80.8,swimming,37.15,7.97,17
129,Abigale Camilli,29,191.3,92.8,swimming,41.97,3.44,10
130,Imogene Oglesbee,40,217.8,101.4,swimming,16.07,5.06,18
131,Taffy Beckhouse,19,220.0,87.6,tennis,24.95,4.77,10
132,Clayton Syson,40,170.4,99.2,tennis,38.56,11.94,36
133,Meriel Degoey,36,190.3,67.5,swimming,52.63,5.2,21
134,Teresita Fullager,33,178.1,75.2,basketball,6.88,7.55,37
135,Nikos Syddall,28,217.0,116.9,soccer,45.43,7.29,1
136,Britney Rolf,30,160.8,75.9,tennis,27.13,4.96,17
137,Moreen Speek,36,186.4,83.5,swimming,3.33,10.18,30
138,Tori Hellyar,20,187.9,119.5,basketball,41.24,0.12,23
139,Thomasin Parkman,33,169.8,83.8,basketball,27.5,5.59,10
140,Tuck De Andreis,19,201.6,109.5,soccer,23.79,9.64,35
141,Felix Paulich,24,168.8,87.9,basketball,14.36,11.45,39
142,Katharyn Divall,29,201.9,81.1,basketball,52.26,10.54,30
143,Tommie Pendrey,37,151.9,95.7,basketball,39.05,0.91,25
144,Nicolis Goggins,26,215.8,108.4,tennis,34.49,2.38,18
145,Ranique Searjeant,34,180.5,92.7,swimming,9.33,5.48,19
146,Hiram Dallison,35,216.5,55.9,tennis,3.58,4.07,34
147,Laughton Cater,31,201.0,63.2,swimming,9.57,7.94,10
148,August Sarath,25,153.0,112.3,soccer,55.93,1.78,32
149,Hazel Seabridge,37,169.9,78.4,tennis,23.72,6.57,18
150,Hank Jagiello,26,152.5,104.0,soccer,46.05,6.33,18
151,Swen Pennigar,23,176.9,69.3,tennis,54.45,4.6,13
152,Calhoun Lude,36,158.6,80.9,swimming,23.45,1.7,17
153,Laverne Canty,31,213.1,99.0,basketball,25.14,5.56,16
154,Violet Punch,28,206.9,73.1,tennis,58.31,1.43,36
155,Boniface Gallamore,29,154.4,85.8,basketball,0.86,3.24,23
156,Kalindi Fullilove,20,178.3,95.7,basketball,57.61,4.23,12
157,Fin Towell,39,192.6,66.4,soccer,45.97,0.87,16
158,Lou Braganza,19,217.2,101.5,tennis,29.39,5.98,22
159,Bryant Eldin,25,184.0,75.6,swimming,30.6,6.33,7
160,Lamond Hilling,33,154.9,92.0,swimming,48.11,4.88,2
161,Laurens Windas,25,176.2,78.0,swimming,33.11,5.23,30
162,Kiri O'Brogan,19,210.1,54.6,soccer,5.35,10.97,17
163,Malissia Kaines,24,190.7,60.6,swimming,15.22,3.76,38
164,Mic Damrell,18,172.6,62.4,basketball,5.76,1.03,27
165,Ami Dybald,18,202.4,85.4,swimming,0.98,2.4,5
166,Morganne Whardley,34,183.2,64.0,tennis,17.21,6.23,24
167,Thacher Tatlow,19,163.3,64.1,swimming,7.08,5.0,19
168,Hendrika Josefsson,33,178.4,53.3,basketball,48.99,3.65,19
169,Ezra Pechard,38,161.7,56.3,tennis,2.71,0.4,4
170,Elise Proffitt,38,169.5,60.1,swimming,48.86,10.57,19
171,Nessi Glazyer,23,159.7,101.0,basketball,44.36,1.93,38
172,Pris Grundy,35,150.7,55.6,tennis,1.63,2.12,8
173,Cheslie Newbigging,32,184.1,53.3,basketball,46.87,9.01,24
174,Abagail Dotterill,34,181.1,89.5,swimming,51.37,11.51,5
175,Blithe Bloore,39,169.7,71.0,basketball,9.85,6.45,30
176,Jeromy Blade,19,188.3,119.1,soccer,25.24,0.36,29
177,Meade Larby,33,214.0,113.5,soccer,46.16,6.24,7
178,Booth Blaby,34,211.9,119.9,swimming,58.19,3.62,17
179,Amalie Gye,20,208.5,59.8,tennis,16.54,3.85,17
180,Andra Penrice,35,195.7,89.4,basketball,50.88,0.34,15
181,Hattie Skipping,18,179.4,89.1,soccer,8.23,6.41,23
182,Myrle MacDiarmid,39,179.6,85.0,basketball,51.13,9.21,38
183,Wenona Rubanenko,35,156.8,76.3,tennis,23.13,3.23,35
184,Tuckie Rawlingson,35,180.5,64.5,swimming,32.39,10.33,5
185,Gloria Killick,29,158.3,67.4,tennis,57.75,10.46,3
186,Berenice Lohden,21,185.9,90.4,basketball,57.7,10.21,12
187,Vania Shakespear,28,154.2,112.5,tennis,41.1,0.33,28
188,Bonnie Radoux,28,206.2,73.2,soccer,12.74,8.35,34
189,Pattie Llewelly,26,206.4,71.0,basketball,34.92,2.42,23
190,Wat Collicott,37,176.0,80.4,soccer,41.81,11.98,24
191,Jeannine Jedrzejkiewicz,22,195.3,55.6,soccer,19.47,5.76,40
192,Jeanie Vernham,18,151.7,79.8,basketball,33.02,1.11,35
193,Sonny Tice,24,197.9,99.7,tennis,20.1,1.35,8
194,Adamo Darleston,19,180.1,112.1,swimming,59.05,4.07,18
195,Robb Greatreax,27,187.3,97.8,tennis,38.67,5.73,23
196,Roger Cheese,30,153.2,74.4,tennis,36.0,3.22,17
197,Tod Armatage,25,202.0,75.5,swimming,50.61,8.46,36
198,Gard Renn,37,158.0,106.2,basketball,33.43,0.63,26
199,Hobart Jorry,36,194.8,74.9,soccer,1.61,10.99,1
200,Jacenta Sibthorp,25,150.7,53.5,swimming,51.65,2.84,37
201,Gunner Shakspeare,24,199.1,86.4,tennis,4.7,3.94,21
202,Kalli Glendinning,21,153.0,107.4,swimming,59.92,11.43,17
203,Josie Chittleburgh,35,200.1,101.5,soccer,52.34,6.59,37
204,Lois Pinchon,37,156.0,67.3,swimming,10.6,11.85,13
205,Tully Brann,22,208.2,78.9,tennis,15.26,6.1,20
206,Tybi Enstone,28,194.9,62.6,soccer,58.7,0.86,33
207,Swen Ivory,24,154.0,117.6,basketball,8.43,10.62,35
208,Britte Corneljes,22,214.2,90.3,soccer,51.77,2.14,3
209,Archibaldo Halpen,30,170.8,93.3,swimming,45.89,3.02,26
210,Lucky Gillice,34,182.7,51.6,swimming,43.69,4.52,37
211,Bianca Slingsby,31,157.1,55.3,soccer,24.53,3.84,0
212,Zsazsa Gledhall,25,206.4,58.3,swimming,36.17,1.18,8
213,Araldo Basire,37,198.8,114.6,swimming,36.73,2.58,10
214,Mick Bennellick,29,202.9,100.0,basketball,10.66,1.9,9
215,Martyn MacFarlane,36,192.6,72.2,tennis,41.35,11.72,14
216,Cassondra Pitblado,25,213.3,54.8,basketball,43.2,10.82,9
217,Suellen Abercrombie,26,212.8,51.6,tennis,19.05,2.74,40
218,Anestassia Blees,24,176.2,66.3,basketball,58.72,0.53,26
219,Melva Whitnell,21,184.5,84.2,tennis,52.1,9.61,2
220,Devan Kondratowicz,31,199.9,96.4,basketball,6.67,5.11,33
221,Flo Comsty,27,155.2,54.8,swimming,30.6,8.1,15
222,Lauren Cornely,36,198.6,87.1,tennis,2.28,1.48,23
223,Giustino Wimpress,37,208.4,93.1,swimming,13.2,3.38,3
224,Liliane Doylend,33,191.2,80.6,soccer,54.74,8.95,1
225,Tadd Screwton,40,169.1,58.2,soccer,32.73,0.59,28
226,Otha Woolforde,37,155.9,86.3,basketball,37.3,6.37,7
227,Corby Martinson,18,160.0,89.2,tennis,40.08,11.31,10
228,Caty Markson,24,204.6,74.6,basketball,58.05,10.77,30
229,Nichole Kincey,39,191.7,93.3,basketball,23.04,3.99,38
230,Donia Dunbabin,38,192.9,66.0,soccer,28.32,2.1,36
231,Dan Marchi,27,153.5,81.4,basketball,22.02,3.78,17
232,Westbrook Burchard,23,198.1,119.2,tennis,57.52,0.35,6
233,Beale Priestnall,30,208.6,83.5,swimming,13.72,2.54,34
234,Camila Trorey,19,167.9,56.5,basketball,30.05,7.77,29
235,Matthiew Gilliver,38,153.0,111.9,tennis,58.94,7.0,2
236,Cliff Schaben,28,186.7,103.7,soccer,49.22,4.89,23
237,Bibbye Ciccoloi,19,206.1,66.6,swimming,40.07,10.27,13
238,Cornela Sandercock,33,169.9,87.7,soccer,3.47,11.92,1
239,Wendel Stuckley,35,167.0,103.1,soccer,19.52,11.61,15
240,Jamie Matisse,22,204.6,59.2,basketball,19.53,5.24,37
241,Modestia Benko,38,190.5,71.4,swimming,49.19,9.25,15
242,Marabel Gracewood,24,164.9,57.0,basketball,3.87,9.58,11
243,Rasia Tideswell,30,171.6,88.9,soccer,48.65,0.35,18
244,Laurette Colliford,37,167.2,101.9,swimming,2.81,10.73,27
245,Charles Fateley,29,171.3,76.4,basketball,35.71,0.32,21
246,Codie Mully,31,191.6,83.0,soccer,14.36,10.88,29
247,Natale Breston,26,202.4,88.2,tennis,54.11,11.98,6
248,Roderich Bagwell,39,192.2,93.2,tennis,2.34,8.09,5
249,Charis Stegell,18,173.8,56.6,soccer,39.74,5.28,26
250,Marlowe Bambury,23,157.1,70.0,tennis,59.66,5.9,7
251,Dwayne O'Fallon,24,199.6,60.8,soccer,46.86,2.93,17
252,Noni Lacoste,18,182.2,94.8,soccer,34.68,9.38,11
253,Traci Tender,33,157.8,101.8,soccer,51.92,7.91,22
254,Irvine Challicum,37,166.6,73.7,soccer,36.52,6.8,3
255,Merrie Chesnay,36,217.6,119.4,swimming,52.61,9.23,3
256,Rebbecca Bleacher,39,184.6,112.7,soccer,27.74,10.8,33
257,Maximo Blaze,28,180.1,95.1,soccer,52.8,8.43,38
258,Thedric McKirdy,20,157.9,58.4,soccer,28.99,9.46,11
259,Luelle Lardier,33,182.3,101.5,swimming,21.13,10.94,34
260,Gorden Brackley,38,211.9,96.1,soccer,3.9,4.61,17
261,Aurilia Zahor,25,165.1,93.6,basketball,37.18,5.32,6
262,Francis Newcom,34,174.2,103.2,swimming,12.93,5.47,22
263,Clovis Vizard,19,170.7,82.4,basketball,4.31,4.88,18
264,Araldo Bousler,40,171.8,118.8,soccer,49.14,8.18,23
265,Angeli Pate,29,191.2,52.2,swimming,44.95,7.09,12
266,Jordan McCormick,24,212.0,103.4,swimming,56.9,8.76,30
267,Keefe Spoors,25,180.1,60.9,basketball,25.52,2.75,8
268,Stefanie Ipsly,18,210.1,77.2,swimming,22.0,5.43,12
269,Marti Garaway,30,155.1,103.8,tennis,45.62,10.78,34
270,Violetta Touhig,31,198.8,58.7,basketball,29.73,8.71,1
271,Web Gluyus,28,198.0,52.7,soccer,18.16,10.06,13
272,Theodore Abendroth,27,197.6,85.7,basketball,4.13,8.18,23
273,Mead Heffer,35,185.9,119.3,swimming,21.03,4.51,8
274,Shelia Baily,36,154.6,99.6,swimming,44.47,8.21,20
275,Berri Roarty,32,170.4,86.8,swimming,11.62,2.16,0
276,Sapphire Sussams,19,211.7,69.8,swimming,12.99,4.45,23
277,Kalindi Skittrall,33,168.0,66.1,swimming,3.38,1.6,23
278,Mallory Worrell,39,214.3,89.7,tennis,16.97,11.62,36
279,Conrade Skett,18,185.7,91.2,soccer,20.97,9.44,19
280,Harrison Terren,24,155.6,100.6,tennis,35.62,9.94,20
281,Yule Flockhart,21,216.0,70.9,tennis,46.31,9.21,15
282,Garrard Dimeloe,35,162.7,51.3,swimming,1.3,11.54,13
283,Frayda Nuton,30,176.2,101.4,swimming,35.71,7.75,7
284,Muffin Anchor,18,163.9,109.1,basketball,43.57,1.23,6
285,Hollyanne Pretious,31,184.5,99.0,tennis,55.8,0.11,32
286,Renate Kayzer,27,180.3,96.2,swimming,36.06,7.22,35
287,Brook Ertelt,25,205.3,68.8,tennis,20.53,9.84,0
288,Salomo Bindon,37,198.0,57.1,tennis,0.63,7.87,13
289,Matt Kermon,19,179.1,76.1,swimming,39.95,11.79,39
290,Dorelle Proffer,34,213.3,101.5,basketball,41.32,8.25,28
291,Heriberto Varne,26,186.4,116.0,tennis,19.54,0.76,8
292,Langston Andrieux,20,203.3,57.4,basketball,54.71,3.45,22
293,Blondy Bountiff,40,217.7,60.3,soccer,33.74,11.46,16
294,Warren Skeldon,29,192.0,93.1,basketball,48.75,8.7,11
295,Lilith Ferryman,26,168.8,74.7,tennis,58.14,0.41,6
296,Velma Arons,32,157.8,78.4,swimming,40.8,6.55,13
297,Sharline Heyfield,39,209.6,65.1,soccer,1.83,10.94,8
298,Edik Banaszkiewicz,28,152.7,80.3,basketball,19.44,2.17,22
299,Vail McGrath,29,208.3,110.3,soccer,54.53,3.68,17
300,Jules Beebis,21,215.5,101.0,basketball,38.61,10.02,12
301,Tessi Acome,25,162.1,104.3,basketball,25.0,9.01,13
302,Desiri Ausiello,32,201.5,109.6,swimming,1.69,8.65,6
303,Filberto Cleverly,38,174.4,61.9,basketball,36.63,8.01,1
304,Maurise Godmar,35,196.9,64.5,tennis,26.61,6.71,38
305,Rosetta Pitway,35,163.0,57.6,tennis,33.0,8.27,14
306,Sal Zaniolo,28,187.1,116.2,swimming,18.83,0.15,10
307,Chip Archdeacon,19,207.6,93.4,basketball,46.77,6.21,7
308,Chandal Cowope,20,167.2,52.8,basketball,30.73,1.19,20
309,Viviana Leverington,36,155.2,109.4,swimming,53.19,5.67,37
310,Conan Dubble,24,204.0,57.2,soccer,2.55,5.61,40
311,Keen Wilsher,18,205.6,105.4,soccer,47.46,5.73,11
312,Padgett Brosel,25,216.8,118.8,swimming,16.21,6.4,31
313,Joann Caveill,26,201.1,53.6,tennis,37.38,6.22,31
314,Ardelia Shillam,32,214.9,99.2,tennis,12.38,4.37,27
315,Daniele Smaridge,31,157.6,60.1,tennis,40.86,7.36,25
316,Kym Kinnett,26,213.4,91.5,tennis,11.9,1.64,30
317,Binky Batiste,40,165.7,84.3,soccer,5.04,4.35,22
318,Vanni Durbridge,28,167.1,71.8,basketball,23.42,11.13,13
319,Walsh Barnsdall,21,169.7,86.5,tennis,35.51,6.07,8
320,Olvan Agneau,24,177.3,97.8,soccer,18.05,6.11,31
321,Damian Dulwich,37,213.9,76.8,swimming,51.93,7.21,3
322,Malachi Sate,38,166.0,51.2,basketball,53.93,1.96,22
323,Jilly Gayler,21,176.3,111.1,tennis,21.33,0.55,14
324,Ebony Bullene,29,194.7,62.3,basketball,8.77,4.35,1
325,Marina McDuffy,31,209.4,57.7,soccer,30.06,3.47,15
326,Lurline Giacomelli,37,192.6,100.3,soccer,40.04,11.48,33
327,Pincas Latek,37,217.2,114.0,tennis,15.81,5.47,20
328,Mahalia Prestage,24,194.5,64.1,swimming,16.6,11.69,32
329,Clayborn Jiracek,23,200.0,97.5,basketball,59.6,9.53,15
330,Betteanne Barnsdale,33,217.9,71.8,basketball,51.18,1.97,9
331,Hale Riveles,19,165.9,84.6,soccer,37.06,8.31,22
332,Robbin Di Roberto,23,169.0,63.1,basketball,26.69,10.67,35
333,Emily Sommerly,29,195.9,118.0,basketball,55.5,5.01,14
334,Shurwood Geering,34,217.5,81.0,tennis,35.48,2.08,32
335,Flori Waycott,32,169.2,92.3,soccer,9.64,4.39,15
336,Analiese Wonfor,38,159.7,109.4,soccer,2.61,4.11,29
337,Desdemona Dellenbach,34,169.1,73.4,tennis,18.25,10.72,18
338,Miguel Harry,35,193.5,67.5,tennis,39.07,4.34,34
339,Harriet Deards,21,206.5,57.7,soccer,33.19,10.54,33
340,Garwin Valde,26,205.8,51.7,swimming,27.68,3.43,26
341,Thom Bartusek,32,169.0,56.7,basketball,25.23,10.12,37
342,Dame Izon,27,166.8,58.5,swimming,4.85,8.48,10
343,Sullivan Pietruszewicz,25,156.1,58.8,swimming,22.98,8.39,17
344,Aube Barthorpe,35,164.3,66.3,basketball,50.53,3.51,20
345,Briney Lembke,22,217.7,77.8,tennis,40.39,8.12,3
346,Darius Skea,33,197.2,93.9,soccer,58.29,7.96,33
347,Margaux Tomsu,32,175.2,57.0,swimming,48.79,5.67,8
348,Idalia Gostage,39,158.0,61.0,soccer,59.36,1.76,34
349,Modestine O'Deoran,29,175.4,103.3,soccer,27.26,10.79,10
350,Fedora Hiorn,29,175.3,77.1,basketball,6.73,3.03,28
351,Waldon Prichet,33,153.9,72.6,swimming,31.14,7.19,8
352,Rachele Blaydon,36,162.4,109.0,tennis,9.0,7.54,3
353,Yalonda Cossum,32,189.0,97.7,soccer,0.37,6.58,15
354,Cristian Bernt,31,157.8,83.4,soccer,30.22,9.43,27
355,Lloyd Gash,39,211.7,99.1,basketball,7.2,8.08,28
356,Cordie Baldacchi,33,201.6,86.6,swimming,31.53,11.66,12
357,Harmon Bentz,20,206.4,114.1,basketball,56.18,11.96,39
358,Eamon Ridgewell,30,153.4,66.2,basketball,26.98,11.7,5
359,Pate Gillbey,37,175.3,64.9,tennis,39.74,8.98,31
360,Jenn Josipovic,28,166.7,81.7,swimming,45.85,8.85,9
361,Willow Twiname,26,194.3,107.2,tennis,16.13,5.85,17
362,Rolf Kirckman,32,181.4,56.3,swimming,37.95,11.2,27
363,Germana Nealon,26,199.7,92.5,basketball,10.36,7.52,31
364,Jasmine Bondley,34,158.0,72.5,basketball,26.91,0.04,25
365,Chandler Schultheiss,40,174.3,82.1,basketball,7.58,11.46,18
366,Wilmette Humpherston,22,177.4,93.8,tennis,38.75,2.27,1
367,Jeane Wynes,18,188.6,82.8,tennis,28.81,3.67,13
368,Terrill Goddman,25,219.9,56.2,basketball,37.81,7.5,1
369,Garth Leftbridge,33,157.2,50.9,tennis,29.1,11.08,11
370,Queenie Finder,40,180.5,67.3,soccer,13.28,0.76,19
371,Ezequiel Attwoull,30,159.1,112.5,basketball,33.46,5.5,28
372,Waylin Glover,36,157.6,54.5,soccer,13.64,1.61,31
373,Leonard Hicklingbottom,35,183.7,50.2,soccer,25.61,11.45,17
374,Caitrin Valentin,40,153.5,112.3,swimming,27.61,0.89,13
375,Andy Stockin,32,179.6,109.8,tennis,46.55,0.51,3
376,Richart Yushkin,18,163.9,77.5,tennis,33.16,9.57,22
377,Garvy Schimke,31,209.1,102.8,tennis,49.86,2.16,3
378,Krishna Von Oertzen,36,182.5,69.7,basketball,55.93,11.96,0
379,Lock Coltman,31,204.6,87.7,basketball,36.51,3.3,11
380,Sanford Bernardi,28,219.4,68.8,basketball,32.82,8.51,30
381,Mireielle Fausset,35,206.8,86.6,basketball,36.14,7.93,30
382,Jamima Jury,36,191.2,57.8,swimming,22.05,2.55,21
383,Frasier Mounfield,19,204.1,101.4,soccer,3.6,8.36,20
384,Kristien Willcot,35,194.4,53.8,basketball,6.22,10.17,30
385,Marlo Dawson,38,177.1,65.0,soccer,43.36,2.7,37
386,Raleigh Richemont,24,201.6,108.1,swimming,42.79,1.06,37
387,Marchall Gorner,20,154.4,86.6,basketball,15.47,4.62,35
388,Levi MacGaughey,37,184.2,60.1,soccer,49.93,0.83,25
389,Corliss Burgill,26,179.4,97.2,tennis,17.74,0.46,4
390,Clark Viccary,24,200.0,63.4,basketball,0.72,10.84,25
391,Fernande Redmore,40,203.3,84.6,tennis,30.46,10.78,5
392,Maegan Sidwick,25,186.0,101.7,tennis,24.9,3.66,28
393,Bethany Keoghan,21,162.9,54.8,tennis,45.8,7.9,28
394,Shari Jankovsky,39,153.8,80.0,swimming,55.55,6.09,19
